,ID,first_date,last_date
0,4,2008-02-18,2010-09-29
1,7,2008-03-21,2010-07-31
2,21,2008-02-24,2010-07-31
3,23,2008-04-05,2010-07-31
4,33,2008-03-30,2010-07-31
5,34,2008-02-28,2010-07-31
6,41,2008-03-27,2010-07-31
7,69,2008-04-04,2010-07-31
8,70,2008-02-19,2010-07-31
9,73,2008-03-27,2010-09-30
10,74,2008-04-04,2010-07-31
11,76,2008-04-03,2010-07-31
12,87,2008-03-28,2010-07-31
13,89,2008-04-03,2010-07-31
14,92,2008-04-02,2010-07-31
15,105,2008-04-02,2010-09-30
16,129,2008-03-17,2010-07-31
17,150,2008-02-29,2010-07-31
18,155,2008-03-19,2010-09-30
19,177,2008-03-06,2010-07-31
20,178,2008-03-21,2010-07-31
21,185,2008-04-01,2010-07-31
22,192,2008-02-20,2010-07-31
23,205,2008-04-04,2009-08-27
24,211,2008-03-27,2010-03-11
25,222,2008-03-25,2009-12-17
26,225,2008-04-02,2008-11-04
27,232,2008-03-12,2010-07-31
28,240,2008-03-27,2010-07-31
29,242,2008-03-12,2008-08-20
30,247,2008-03-26,2010-07-31
31,256,2008-02-26,2010-07-31
32,293,2008-02-29,2010-07-31
33,298,2008-03-26,2010-07-31
34,301,2008-03-07,2010-07-31
35,306,2008-03-31,2010-07-31
36,328,2008-03-19,2010-09-30
37,342,2008-03-03,2010-07-31
38,346,2008-02-21,2010-09-29
39,349,2008-02-26,2008-12-19
40,351,2008-03-20,2008-11-07
41,368,2008-03-19,2010-07-31
42,373,2008-03-29,2010-07-31
43,374,2008-02-29,2010-07-31
44,382,2008-02-23,2010-07-31
45,408,2008-02-28,2010-07-31
46,409,2008-04-04,2010-07-31
47,411,2008-04-03,2009-09-09
48,418,2008-03-26,2010-09-30
49,427,2008-04-02,2010-07-31
50,437,2008-02-21,2010-09-30
51,445,2008-02-23,2010-07-31
52,454,2008-04-03,2010-07-31
53,470,2008-03-10,2010-04-13
54,501,2008-02-25,2010-07-31
